species,count,transect,width,fire,plot
ABGR,,1,2,1910,s1p1
ABLA,27,1,2,1910,s1p1
ACGL,34,1,2,1910,s1p1
ALVI,,1,2,1910,s1p1
BEPA,,1,2,1910,s1p1
JUCO,,1,2,1910,s1p1
LAOC,,1,2,1910,s1p1
PICO,,1,2,1910,s1p1
PIEN,1,1,2,1910,s1p1
PIMO,,1,2,1910,s1p1
POBA,,1,2,1910,s1p1
POTR,,1,2,1910,s1p1
PSME,0,1,2,1910,s1p1
TABR,3,1,2,1910,s1p1
THPL,,1,2,1910,s1p1
TSHE,,1,2,1910,s1p1
ABGR,,2,2,1910,s1p1
ABLA,79,2,2,1910,s1p1
ACGL,3,2,2,1910,s1p1
ALVI,,2,2,1910,s1p1
BEPA,1,2,2,1910,s1p1
JUCO,,2,2,1910,s1p1
LAOC,,2,2,1910,s1p1
PICO,,2,2,1910,s1p1
PIEN,11,2,2,1910,s1p1
PIMO,,2,2,1910,s1p1
POBA,,2,2,1910,s1p1
POTR,,2,2,1910,s1p1
PSME,1,2,2,1910,s1p1
TABR,19,2,2,1910,s1p1
THPL,,2,2,1910,s1p1
TSHE,,2,2,1910,s1p1
ABGR,,3,2,1910,s1p1
ABLA,50,3,2,1910,s1p1
ACGL,16,3,2,1910,s1p1
ALVI,,3,2,1910,s1p1
BEPA,,3,2,1910,s1p1
JUCO,,3,2,1910,s1p1
LAOC,,3,2,1910,s1p1
PICO,,3,2,1910,s1p1
PIEN,0,3,2,1910,s1p1
PIMO,,3,2,1910,s1p1
POBA,,3,2,1910,s1p1
POTR,,3,2,1910,s1p1
PSME,2,3,2,1910,s1p1
THPL,,3,2,1910,s1p1
TSHE,,3,2,1910,s1p1
ABGR,,1,2,1910,s1p2
ABLA,19,1,2,1910,s1p2
ACGL,2,1,2,1910,s1p2
ALVI,,1,2,1910,s1p2
BEPA,2,1,2,1910,s1p2
JUCO,,1,2,1910,s1p2
LAOC,,1,2,1910,s1p2
PICO,,1,2,1910,s1p2
PIEN,8,1,2,1910,s1p2
PIMO,,1,2,1910,s1p2
POBA,,1,2,1910,s1p2
POTR,,1,2,1910,s1p2
PSME,,1,2,1910,s1p2
TABR,2,1,2,1910,s1p2
THPL,,1,2,1910,s1p2
TSHE,,1,2,1910,s1p2
ABGR,,2,2,1910,s1p2
ABLA,29,2,2,1910,s1p2
ACGL,14,2,2,1910,s1p2
ALVI,,2,2,1910,s1p2
BEPA,,2,2,1910,s1p2
