stand_id,species,count,height_from,height_to,age
1,LAOC,48750,0.02,0.05,1
2,PSME,37500,0.02,0.05,1
3,TSHE,116250,0.02,0.05,1
4,TSHE,2500,0.08,0.15,2
5,LAOC,21071,0.02,0.05,1
6,LAOC,5714,0.08,0.15,2
7,PSME,142857,0.02,0.05,1
8,TSHE,3571,0.02,0.05,1
9,PICO,1429,0.02,0.05,1
10,PICO,86607,0.08,0.15,2
11,PICO,3214,0.02,0.05,1
12,PICO,448929,0.08,0.15,2
13,LAOC,89,0.02,0.05,1
14,LAOC,982,0.08,0.15,2
15,PICO,357,0.08,0.15,2
16,PICO,3571,0.02,0.05,1
17,PICO,143571,0.08,0.15,2
18,LAOC,89,0.08,0.15,2
19,PICO,3304,0.08,0.15,2
20,PICO,1964,0.02,0.05,1
21,PICO,78214,0.08,0.15,2
22,PICO,446,0.02,0.05,1
23,PICO,13482,0.08,0.15,2
24,PICO,73750,0.02,0.05,1
25,PICO,953750,0.08,0.15,2
26,LAOC,179,0.08,0.15,2
27,PICO,2500,0.08,0.15,2
28,LAOC,625,0.08,0.15,2
29,PICO,270625,0.08,0.15,2
30,PSME,3750,0.02,0.05,1
31,LAOC,89,0.08,0.15,2
32,PICO,893,0.08,0.15,2
33,LAOC,446,0.08,0.15,2
34,PICO,2054,0.08,0.15,2
35,PICO,89,0.02,0.05,1
36,PICO,1518,0.08,0.15,2
37,PICO,4821,0.08,0.15,2
38,LAOC,1071,0.08,0.15,2
39,PICO,11786,0.02,0.05,1
40,PICO,171429,0.08,0.15,2
41,PSME,357,0.02,0.05,1
42,LAOC,89,0.08,0.15,2
43,PICO,714,0.08,0.15,2
44,LAOC,1786,0.02,0.05,1
45,LAOC,8929,0.08,0.15,2
46,PICO,714,0.02,0.05,1
47,PICO,10536,0.08,0.15,2
48,LAOC,45625,0.02,0.05,1
49,LAOC,19375,0.08,0.15,2
50,PSME,3125,0.02,0.05,1
51,LAOC,89,0.02,0.05,1
52,LAOC,804,0.08,0.15,2
53,PICO,446,0.08,0.15,2
54,LAOC,3929,0.02,0.05,1
55,LAOC,6607,0.08,0.15,2
56,PSME,179,0.02,0.05,1
57,LAOC,89,0.02,0.05,1
58,LAOC,89,0.08,0.15,2
59,PSME,357,0.02,0.05,1
60,ABLA,714,0.02,0.05,1
61,ABLA,268,0.02,0.05,1
62,LAOC,179,0.02,0.05,1
63,LAOC,268,0.08,0.15,2
64,PSME,1786,0.02,0.05,1
65,PSME,89,0.08,0.15,2
66,LAOC,89,0.02,0.05,1
67,LAOC,179,0.08,0.15,2
68,PIEN,89,0.02,0.05,1
69,PSME,1339,0.02,0.05,1
70,TSHE,89,0.02,0.05,1
71,LAOC,89,0.02,0.05,1
72,PSME,268,0.02,0.05,1
73,ABLA,89,0.02,0.05,1
74,LAOC,446,0.02,0.05,1
75,LAOC,536,0.08,0.15,2
76,PIEN,89,0.02,0.05,1
77,PSME,1518,0.02,0.05,1
78,PSME,89,0.08,0.15,2
79,ABLA,625,0.02,0.05,1
80,ABLA,89,0.08,0.15,2
81,LAOC,1518,0.02,0.05,1
82,LAOC,3214,0.08,0.15,2
