env_id,stand_id,easting,northing,species,plot_name
1,1,289315,5389891,LAOC,TH-BROWN-NORTH-LOW-1
1,2,289315,5389891,PSME,TH-BROWN-NORTH-LOW-1
1,3,289315,5389891,TSHE,TH-BROWN-NORTH-LOW-1
1,4,289315,5389891,TSHE,TH-BROWN-NORTH-LOW-1
2,5,289570,5388825,LAOC,TH-BROWN-NORTH-MID-1
2,6,289570,5388825,LAOC,TH-BROWN-NORTH-MID-1
2,7,289570,5388825,PSME,TH-BROWN-NORTH-MID-1
2,8,289570,5388825,TSHE,TH-BROWN-NORTH-MID-1
3,9,290933,5382459,PICO,TH-LINC-NORTH-HIGH-1
3,10,290933,5382459,PICO,TH-LINC-NORTH-HIGH-1
4,11,291513,5382660,PICO,TH-LINC-NORTH-HIGH-2
4,12,291513,5382660,PICO,TH-LINC-NORTH-HIGH-2
5,13,291786,5383552,LAOC,TH-LINC-NORTH-LOW-2
5,14,291786,5383552,LAOC,TH-LINC-NORTH-LOW-2
5,15,291786,5383552,PICO,TH-LINC-NORTH-LOW-2
6,16,290421,5382769,PICO,TH-LINC-NORTH-LOW-3
6,17,290421,5382769,PICO,TH-LINC-NORTH-LOW-3
7,18,291801,5383143,LAOC,TH-LINC-NORTH-MID-1a
7,19,291801,5383143,PICO,TH-LINC-NORTH-MID-1a
8,20,290429,5382299,PICO,TH-LINC-NORTH-MID-2
8,21,290429,5382299,PICO,TH-LINC-NORTH-MID-2
9,22,290735,5382584,PICO,TH-LINC-NORTH-MID-3
9,23,290735,5382584,PICO,TH-LINC-NORTH-MID-3
10,24,290993,5382247,PICO,TH-LINC-SOUTH-HIGH-3a
10,25,290993,5382247,PICO,TH-LINC-SOUTH-HIGH-3a
11,26,289797,5385104,LAOC,TH-LINC-SOUTH-HIGH-3b
12,27,290408,5383188,PICO,TH-LINC-SOUTH-LOW-1
13,28,289830,5381865,LAOC,TH-LINC-SOUTH-LOW-2
13,29,289830,5381865,PICO,TH-LINC-SOUTH-LOW-2
13,30,289830,5381865,PSME,TH-LINC-SOUTH-LOW-2
14,31,290652,5383957,LAOC,TH-LINC-SOUTH-LOW-3
14,32,290652,5383957,PICO,TH-LINC-SOUTH-LOW-3
15,33,288749,5384029,LAOC,TH-LINC-SOUTH-MID-1
15,34,288749,5384029,PICO,TH-LINC-SOUTH-MID-1
16,35,288916,5383594,PICO,TH-LINC-SOUTH-MID-2
16,36,288916,5383594,PICO,TH-LINC-SOUTH-MID-2
17,37,289965,5383109,PICO,TH-LINC-SOUTH-MID-3
18,38,289402,5382060,LAOC,TH-LINC-SOUTH-MID-4a
18,39,289402,5382060,PICO,TH-LINC-SOUTH-MID-4a
18,40,289402,5382060,PICO,TH-LINC-SOUTH-MID-4a
18,41,289402,5382060,PSME,TH-LINC-SOUTH-MID-4a
19,42,289820,5383795,LAOC,TH-LINC-SOUTH-MID-4b
19,43,289820,5383795,PICO,TH-LINC-SOUTH-MID-4b
21,44,288245,5384306,LAOC,TH-RIDG-NORTH-MID-1
21,45,288245,5384306,LAOC,TH-RIDG-NORTH-MID-1
21,46,288245,5384306,PICO,TH-RIDG-NORTH-MID-1
21,47,288245,5384306,PICO,TH-RIDG-NORTH-MID-1
22,48,287064,5384101,LAOC,TH-RIDG-NORTH-MID-2
22,49,287064,5384101,LAOC,TH-RIDG-NORTH-MID-2
22,50,287064,5384101,PSME,TH-RIDG-NORTH-MID-2
23,51,288798,5384225,LAOC,TH-RIDG-SOUTH-HIGH-1
23,52,288798,5384225,LAOC,TH-RIDG-SOUTH-HIGH-1
23,53,288798,5384225,PICO,TH-RIDG-SOUTH-HIGH-1
24,54,287703,5383979,LAOC,TH-RIDG-SOUTH-MID-2
24,55,287703,5383979,LAOC,TH-RIDG-SOUTH-MID-2
24,56,287703,5383979,PSME,TH-RIDG-SOUTH-MID-2
25,57,291443,5388562,LAOC,TH-SDYR-LOW-SOUTH-3
25,58,291443,5388562,LAOC,TH-SDYR-LOW-SOUTH-3
26,59,292437,5389097,PSME,TH-SDYR-MID-SOUTH-2
27,60,293322,5389470,ABLA,TH-SDYR-NORTH-HIGH-1
28,61,292945,5388926,ABLA,TH-SDYR-NORTH-HIGH-2
28,62,292945,5388926,LAOC,TH-SDYR-NORTH-HIGH-2
28,63,292945,5388926,LAOC,TH-SDYR-NORTH-HIGH-2
28,64,292945,5388926,PSME,TH-SDYR-NORTH-HIGH-2
28,65,292945,5388926,PSME,TH-SDYR-NORTH-HIGH-2
29,66,291679,5388368,LAOC,TH-SDYR-NORTH-LOW-1
29,67,291679,5388368,LAOC,TH-SDYR-NORTH-LOW-1
29,68,291679,5388368,PIEN,TH-SDYR-NORTH-LOW-1
29,69,291679,5388368,PSME,TH-SDYR-NORTH-LOW-1
29,70,291679,5388368,TSHE,TH-SDYR-NORTH-LOW-1
30,71,291652,5388681,LAOC,TH-SDYR-SOUTH-LOW-1
30,72,291652,5388681,PSME,TH-SDYR-SOUTH-LOW-1
32,73,292243,5386451,ABLA,TH-SPRG-NORTH-HIGH-1
32,74,292243,5386451,LAOC,TH-SPRG-NORTH-HIGH-1
32,75,292243,5386451,LAOC,TH-SPRG-NORTH-HIGH-1
32,76,292243,5386451,PIEN,TH-SPRG-NORTH-HIGH-1
32,77,292243,5386451,PSME,TH-SPRG-NORTH-HIGH-1
32,78,292243,5386451,PSME,TH-SPRG-NORTH-HIGH-1
33,79,291665,5386607,ABLA,TH-SPRG-NORTH-LOW-1
33,80,291665,5386607,ABLA,TH-SPRG-NORTH-LOW-1
33,81,291665,5386607,LAOC,TH-SPRG-NORTH-LOW-1
33,82,291665,5386607,LAOC,TH-SPRG-NORTH-LOW-1
33,83,291665,5386607,PIEN,TH-SPRG-NORTH-LOW-1
33,84,291665,5386607,PSME,TH-SPRG-NORTH-LOW-1
33,85,291665,5386607,TSHE,TH-SPRG-NORTH-LOW-1
34,86,291238,5386555,ABLA,TH-SPRG-NORTH-MID-1
34,87,291238,5386555,LAOC,TH-SPRG-NORTH-MID-1
34,88,291238,5386555,LAOC,TH-SPRG-NORTH-MID-1
34,89,291238,5386555,PIEN,TH-SPRG-NORTH-MID-1
34,90,291238,5386555,PIEN,TH-SPRG-NORTH-MID-1
34,91,291238,5386555,TSHE,TH-SPRG-NORTH-MID-1
35,92,292781,5386874,PSME,TH-SPRG-SOUTH-HIGH-1
36,93,290320,5387523,LAOC,TH-SPRG-SOUTH-LOW-1
36,94,290320,5387523,LAOC,TH-SPRG-SOUTH-LOW-1
36,95,290320,5387523,TSHE,TH-SPRG-SOUTH-LOW-1
36,96,290320,5387523,TSHE,TH-SPRG-SOUTH-LOW-1
38,97,291295,5387199,LAOC,TH-SPRG-SOUTH-MID-2
38,98,291295,5387199,LAOC,TH-SPRG-SOUTH-MID-2
38,99,291295,5387199,PSME,TH-SPRG-SOUTH-MID-2
39,100,293550,5384417,PICO,TH-UL-SOUTH-1
41,101,295127,5385402,PSME,TH-UL-SOUTH-3
42,102,307106,5350686,ABLA,DM-1910S1P1
42,103,307106,5350686,PIEN,DM-1910S1P1
42,104,307106,5350686,PSME,DM-1910S1P1
43,105,306928,5350610,ABLA,DM-1910S1P2
43,106,306928,5350610,PIEN,DM-1910S1P2
44,107,306879,5350368,ABLA,DM-1910S1P3
44,108,306879,5350368,PIEN,DM-1910S1P3
44,109,306879,5350368,PSME,DM-1910S1P3
45,110,275673,5387495,ABLA,DM-1926S1P1
45,111,275673,5387495,PICO,DM-1926S1P1
45,112,275673,5387495,PIEN,DM-1926S1P1
45,113,275673,5387495,PIMO,DM-1926S1P1
45,114,275673,5387495,PSME,DM-1926S1P1
